Type,Trans Date,Post Date,Description,Amount,
Sale,06/30/2017,07/02/2017,WHOLEFDS STC 10267,-25.25,
Sale,06/30/2017,07/02/2017,WHOLEFDS LAT 10155,-16.56,
Sale,06/29/2017,06/30/2017,AMAZON MKTPLACE PMTS,-12.99,
Sale,06/29/2017,06/30/2017,Amazon.com,-44.6,
Sale,06/29/2017,07/02/2017,WHOLEFDS STC 10267,-7.5,
Sale,06/29/2017,06/30/2017,JET.COM,-40.42,
Sale,06/29/2017,07/02/2017,WHOLEFDS STC 10267,-22.97,
Sale,06/28/2017,06/28/2017,AMAZON MKTPLACE PMTS,-8.36,
Sale,06/28/2017,06/29/2017,WHOLEFDS LAT 10155,-17.05,
Return,06/28/2017,06/29/2017,LUCKYBRAND.COM,30.91,
Return,06/28/2017,06/29/2017,LUCKYBRAND.COM,89.45,
Sale,06/28/2017,06/28/2017,UBER   *US JUN27 MQ23M,-34.84,
Sale,06/28/2017,06/30/2017,INSTACART,-35.51,
Sale,06/27/2017,06/28/2017,WHOLEFDS LAT 10155,-9.8,
Sale,06/26/2017,06/27/2017,TARGET        00003228,-37.02,
Sale,06/26/2017,06/26/2017,GOOGLE *SERVICES,-20,
Sale,06/26/2017,06/27/2017,UBER TECHNOLOGIES INC,-5.09,
Sale,06/26/2017,06/27/2017,UBER TECHNOLOGIES INC,-4.88,
Sale,06/26/2017,06/27/2017,GOOGLE *Google Storage,-1.99,
Sale,06/25/2017,06/27/2017,WHOLEFDS STC 10267,-5.04,
Sale,06/25/2017,06/27/2017,WHOLEFDS STC 10267,-11.49,
Sale,06/25/2017,06/27/2017,WHOLEFDS LAT 10155,-23.68,
Sale,06/23/2017,06/25/2017,CHEVRON 0096377,-50.71,
Return,06/23/2017,06/25/2017,AMAZON MKTPLACE PMTS,26.13,
Sale,06/23/2017,06/25/2017,VESTA  *AT&amp;T,-43.26,
Sale,06/23/2017,06/25/2017,WHOLEFDS LAT 10155,-20.97,
Sale,06/23/2017,06/25/2017,INSTACART,-54.53,
Sale,06/22/2017,06/23/2017,GOOGLE *Google Music,-7.99,
Sale,06/22/2017,06/25/2017,WHOLEFDS LAT 10155,-23.66,
Sale,06/21/2017,06/23/2017,WHOLEFDS LAT 10155,-21.35,
Sale,06/21/2017,06/22/2017,UBER TECHNOLOGIES INC,-4.99,
Sale,06/21/2017,06/22/2017,UBER TECHNOLOGIES INC,-5.29,
Sale,06/20/2017,06/21/2017,UBER TECHNOLOGIES INC,-5.51,
Sale,06/19/2017,06/20/2017,INSTACART,-73.2,
Sale,06/19/2017,06/21/2017,WHOLEFDS LAT 10155,-18.13,
Sale,06/19/2017,06/20/2017,UBER TECHNOLOGIES INC,-5.16,
Sale,06/18/2017,06/20/2017,WHOLEFDS LAT 10155,-16.76,
Sale,06/18/2017,06/20/2017,WHOLEFDS LAT 10155,-20.17,
Sale,06/17/2017,06/18/2017,SQ *OSMENA PEARL,-132,
Return,06/17/2017,06/18/2017,Amazon.com,135.53,
Sale,06/17/2017,06/19/2017,WHOLEFDS LAT 10155,-20.29,
Return,06/17/2017,06/18/2017,AMAZON MKTPLACE PMTS,8.69,
Sale,06/16/2017,06/18/2017,GITHUB.COM  1RKYR,-7,
Sale,06/15/2017,06/16/2017,UBER TECHNOLOGIES INC,-15.68,
Sale,06/15/2017,06/18/2017,WHOLEFDS LAT 10155,-25.42,
Sale,06/15/2017,06/16/2017,UBER   *JUN15 EIOPI,-6.94,
Sale,06/15/2017,06/16/2017,UBER TECHNOLOGIES INC,-21.47,
Sale,06/15/2017,06/15/2017,UBER   *US JUN14 D46MW,-10.55,
Sale,06/15/2017,06/15/2017,UBER TECHNOLOGIES INC,-7.42,
Sale,06/14/2017,06/16/2017,WHOLEFDS LAT 10155,-25.71,
Sale,06/13/2017,06/14/2017,VESTA  *AT&amp;T,-43.26,
Sale,06/13/2017,06/15/2017,WHOLEFDS LAT 10155,-24.73,
Sale,06/13/2017,06/14/2017,AMAZON MKTPLACE PMTS,-15.99,
Sale,06/13/2017,06/14/2017,CHEVRON 0096377,-55.01,
Sale,06/12/2017,06/14/2017,WHOLEFDS LAT 10155,-18.86,
Sale,06/11/2017,06/12/2017,AMAZON MKTPLACE PMTS,-13.99,
Sale,06/11/2017,06/12/2017,INSTACART,-55.74,
Sale,06/11/2017,06/13/2017,WHOLEFDS LAT 10155,-27.74,
Sale,06/11/2017,06/12/2017,Amazon.com,-11.95,
Sale,06/10/2017,06/12/2017,WHOLEFDS LAT 10155,-28.56,
Sale,06/08/2017,06/11/2017,WHOLEFDS LAT 10155,-22.11,
Sale,06/07/2017,06/09/2017,WHOLEFDS LAT 10155,-16.34,
Sale,06/07/2017,06/08/2017,AMAZON MKTPLACE PMTS,-31.19,
Sale,06/07/2017,06/09/2017,WHOLEFDS LAT 10155,-23.68,
Sale,06/07/2017,06/08/2017,AMAZON MKTPLACE PMTS,-34.82,
Sale,06/06/2017,06/07/2017,Amazon.com,-19.37,
Sale,06/06/2017,06/08/2017,WHOLEFDS LAT 10155,-22.4,
Sale,06/06/2017,06/06/2017,Amazon Prime Now Tips,-5,
Sale,06/05/2017,06/06/2017,AMAZON MKTPLACE PMTS,-29.94,
Sale,06/05/2017,06/06/2017,Amazon.com,-35.08,
Sale,06/05/2017,06/06/2017,INSTACART,-65.45,
Sale,06/05/2017,06/07/2017,WHOLEFDS LAT 10155,-14.21,
Sale,06/04/2017,06/05/2017,AMAZON MKTPLACE PMTS,-38.28,
Sale,06/04/2017,06/06/2017,STARBUCKS STORE 03422,-2.25,
Sale,06/04/2017,06/05/2017,76 - ALAMO CO BRANDS INC,-48.45,
Sale,06/04/2017,06/05/2017,Amazon.com,-135.53,
Sale,06/04/2017,06/05/2017,CHEVRON 0095266,-49.61,
Sale,06/04/2017,06/05/2017,Amazon Prime Now,-26.14,
Sale,06/04/2017,06/06/2017,STARBUCKS STORE 03422,-13.95,
Sale,06/04/2017,06/06/2017,STARBUCKS STORE 03422,-4.75,
Sale,06/04/2017,06/05/2017,CHEVRON 0095266,-44.95,
Sale,06/03/2017,06/04/2017,WAL-MART #2053,-28.16,
Sale,06/03/2017,06/04/2017,Amazon.com,-25.06,
Sale,06/03/2017,06/05/2017,STARBUCKS STORE 03422,-6.1,
Sale,06/03/2017,06/05/2017,STARBUCKS STORE 03422,-10.7,
Sale,06/03/2017,06/04/2017,76 - WAYMAN'S 76,-51.09,
Sale,06/03/2017,06/04/2017,CHEVRON 0095266,-20.56,
Sale,06/02/2017,06/04/2017,JET.COM,-10.18,
Sale,06/02/2017,06/04/2017,WHOLEFDS LAT 10155,-14.71,
Sale,06/02/2017,06/04/2017,WHOLEFDS LAT 10155,-58.45,
Sale,06/02/2017,06/04/2017,AMAZON MKTPLACE PMTS,-23.99,
Sale,06/01/2017,06/05/2017,NORDSTROM DIRECT #0808,-108.81,
Sale,06/01/2017,06/04/2017,WHOLEFDS LAT 10155,-19.11,
